e:network:connection_lost	3	2	1	1.6121489245558192	0.8462427365236437	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.32199999999999995	0.4095558299878491	0.0875	0	0	0	1786508587316	0	0.4095558299878491	0
e:network:logged_player_singleplayer_stopping	2	1	1	0.8762164855327659	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.32199999999999995	0.27488974184897447	0.05833333333333333	0	0	0	1786508587343	0	0.27488974184897447	0
u:xaero_session_lifecycle_repeat	3	2	1	1.6121489264505529	0.8462427366145364	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.32199999999999995	0.4239558300840192	0.0875	0	0	0	1786508587294	0	0.4239558300840192	0
e:generic:bits_chopped_ocschoz_skirmisher	1	1	0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.35	0.1585	0.029166666666666664	0	0	0	1786508577164	0	0.1585	0
e:entity:emitting_entitymount_game_skipped	4	4	0	0.6734943725205145	0.9888929307542849	0.0	1.0	0.6055050034490012	0.8964011232719219	0.0	0.0	0.0	0.35	0.548310817806976	0.26666666666666666	4	0	0	1786508512375	0	0.6785	0
u:saving_chunks_repeat	257	3	254	6.221194375085954	0.9642662967830408	2.909152805765772E-15	0.9999999999999994	0.0948611040022735	0.4557011320421038	0.24507067757277284	0.9999478860250057	2.225575696790435E-10	2.1523896820714524E-5	0.683380295270217	1.0	33	12	33	1786508586789	1	0.934156614920793	1786508586789
u:class_or_injection_error	4	1	3	0.6828443656055789	0.8499611452321906	0.0	1.0	0.0	0.0	0.0	0.9043052877605235	0.0	0.32199999999999995	0.35669996841137674	0.22916666666666663	3	0	2	1786508583093	0	0.37535463088522286	0
u:empty_sound_event_repeat	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.38	0.1875	5	0	0	0	0	0.38	0
u:info_burst_noise	1	0	1	0.9911709225287775	0.9911709225287775	0.0	1.0	0.0	0.9911709225287775	0.9911709225287775	0.9911709225287775	0.0	0.0	0.6484530251023204	0.06666666666666667	1	0	1	1786504412088	0	0.6529999999999999	0
e:generic:applied_player	1	1	0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.35	0.1585	0.029166666666666664	0	0	0	1786508578331	0	0.1585	0
u:saving_pause_repeat	54	35	19	0.2603726687289333	0.9042124149354198	0.0	1.0	0.2235651040319174	0.5538584288144546	0.0	0.4640373961392684	0.0	0.13468574906067832	0.46144878531766453	1.0	40	3	8	1786508586761	1	0.5792470355048216	1786508586761
e:generic:empty_nonexistent_pool	793	24	769	6.436843207016916	0.9989443040402063	0.2785009760094021	0.7214990928978144	0.19486672391734539	0.5989323292248729	0.0	0.34703596223084143	0.4323422177630936	0.516047918167987	0.55	1.0	25	4	7	1786508498956	1	0.9454260596321808	1786507351237
u:structural_error_repeat	20	15	5	1.900323389685333	0.9478354190787557	0.12229841423278848	0.9495919710411052	0.9996124273681726	0.6760138903310952	1.0	0.18246935879657084	0.17082336204317042	0.36632422251291197	0.7536399563603203	0.8833333333333333	13	1	1	1786508564178	1	0.7536399563603203	1786506886128
e:generic:found_jigsaw_start_starting	14	14	0	0.20922842828077287	0.8628912425401912	0.0	1.0	0.0	0.3572826399923165	0.0	0.0	0.0	0.35	0.2800546243763052	0.7083333333333333	13	0	0	1786507213986	0	0.3898287508688045	0
